system,N,cycles_I,cycles_D,time_I_ms,iqr_I_ms,time_D_ms,iqr_D_ms,relative_D_pct
H1,3,1,2,0.1097,0.0018,0.1747,0.0080,+59.3
H5,9,1,1,1.8518,0.1072,1.1357,0.0424,-38.7
H1,5,1,1,0.1416,0.0103,0.1172,0.0045,-17.2
H2,5,1,1,0.2102,0.0143,0.1640,0.0103,-22.0
H3,5,1,1,0.3216,0.0173,0.2281,0.0167,-29.1
H4,5,1,1,0.7934,0.0661,0.5076,0.0313,-36.0
H5,5,1,1,1.9275,0.1812,1.1219,0.1758,-41.8
H1,7,1,1,0.1744,0.0062,0.1490,0.0020,-14.6
H2,7,1,1,0.2475,0.0105,0.2011,0.0113,-18.7
H3,7,1,1,0.3629,0.0126,0.2745,0.0109,-24.4
H4,7,1,1,0.8560,0.0569,0.5802,0.0263,-32.2
H5,7,1,1,2.0143,0.2427,1.2053,0.1706,-40.2
