kappa,system,N_star_integer,x_P_star_continuous,m_star_integer,x_S_star_continuous,normalized_curvature_P,normalized_curvature_S,P_continuous_band_0p5_left,P_continuous_band_0p5_right,P_continuous_band_0p5_width
1.0,H1,3,2.5077537540866914,3,2.6855476561926985,0.0750765644179985,0.05643890507900838,2.1736359211866643,2.9084712594711526,0.7348353382844883
1.0,H5,9,9.193580375671145,10,10.071085629800576,0.003672985258165465,0.003393281258597925,7.675796982507686,10.996450205773591,3.3206532232659054
1.2,H1,3,2.5188484951547627,3,2.699290070228922,0.07418434193482866,0.05586103615708523,2.182714916303445,2.9219531491870097,0.7392382328835647
1.2,H5,9,9.201800087259695,10,10.079485916586824,0.003665876637610255,0.00338709805538495,7.6825488832500906,11.006415291553376,3.323866408303285
1.298,H1,3,2.5242624922918893,3,2.7059853028375715,0.07375488507714373,0.05558255874706102,2.187145577282884,2.9285316200442892,0.7413860427614054
1.298,H5,9,9.20582550421664,10,10.083599615368096,0.003662409764777307,0.0033840530101538163,7.685855448237587,11.011295501669819,3.3254400534322324
1.7,H1,3,2.546318000025902,3,2.7331885071518762,0.07204417428532645,0.05447131556366153,2.205197215756562,2.9553282538156416,0.7501310380590795
1.7,H5,9,9.222322526546318,10,10.100457402989447,0.0036482332174199565,0.003371679945991175,7.699406289441736,11.031295895794637,3.3318896063529007
3.23511,H1,3,2.6283381403034616,3,2.8333868176580057,0.06618871067769704,0.05064267797395817,2.272355425586451,3.0549431603334463,0.7825877347469952
3.23511,H5,9,9.28509266883803,10,10.164585187586274,0.003595080445991604,0.003325101429029849,7.750963872532562,11.10739976750632,3.3564358949737585
4.45444,H1,3,2.691099350618902,3,2.9090999830608206,0.062187048556536804,0.04800130955691772,2.3237722312666467,3.1311311230174095,0.8073588917507628
4.45444,H5,9,9.334696558814477,10,10.215245311040121,0.003553861231471321,0.003288953719594398,7.791704244328321,11.167544648268708,3.375840403940386
