system,n,kappa,mu0,mu1_consistent
H1,20,1.0,62,2.05
H1,20,1.298,62,2.05
H1,20,1.7,62,2.05
H1,20,3.23511,62,2.05
H2,50,1.0,180,2.6
H2,50,1.298,180,2.6
H2,50,1.7,180,2.6
H2,50,3.23511,180,2.6
H3,100,1.0,315,2.02
H3,100,1.298,315,2.02298
H3,100,1.7,315,2.027
H3,100,3.23511,315,2.0423511
H4,150,1.0,480,2.1066666666666665
H4,150,1.298,480,2.1086533333333333
H4,150,1.7,480,2.1113333333333335
H4,150,3.23511,480,2.1215674
H5,200,1.0,631,2.09
H5,200,1.298,631,2.09149
H5,200,1.7,631,2.0935
H5,200,3.23511,631,2.10117555
