family,n,delta,tol,macro_hat,macro_comp,CPU_hat_ms,CPU_comp_ms,CPU_relative_hat_vs_comp,IQR_hat_ms,IQR_comp_ms,CPU_clear_2IQR,work_hat,work_comp,work_relative_hat_vs_comp,residual_hat,residual_comp
G1,40,0.10000000000000006,1e-12,1,1,0.22190000000000001,0.16810000000000003,0.3200475907198097,0.03914999999999995,0.014249999999999994,0,79400.0,81520.0,-0.02600588812561333,0.0,0.0
G1,40,0.10000000000000006,1e-10,1,1,0.21950000000000003,0.16580000000000003,0.32388419782870925,0.046849999999999975,0.014099999999999991,0,79400.0,81520.0,-0.02600588812561333,0.0,0.0
G1,40,0.10000000000000006,1e-08,1,1,0.2315,0.1768,0.3093891402714932,0.030149999999999975,0.01639999999999999,0,79400.0,81520.0,-0.02600588812561333,0.0,0.0
G1,40,0.29999999999999993,1e-12,1,1,0.22440000000000002,0.16600000000000004,0.3518072289156624,0.06539999999999996,0.018749999999999996,0,79400.0,81520.0,-0.02600588812561333,0.0,0.0
G1,40,0.29999999999999993,1e-10,1,1,0.2189,0.1641,0.33394271785496654,0.015750000000000004,0.009050000000000002,1,79400.0,81520.0,-0.02600588812561333,0.0,0.0
G1,40,0.29999999999999993,1e-08,1,1,0.2192,0.1674,0.3094384707287934,0.01615000000000001,0.011699999999999959,0,79400.0,81520.0,-0.02600588812561333,0.0,0.0
G1,40,0.6000000000000001,1e-12,1,1,0.2187,0.1666,0.31272509003601434,0.011999999999999993,0.010350000000000008,1,79400.0,81520.0,-0.02600588812561333,5.848455842321796e-16,2.4504062544561596e-16
G1,40,0.6000000000000001,1e-10,1,1,0.21930000000000002,0.16690000000000002,0.3139604553624924,0.008399999999999987,0.011099999999999971,1,79400.0,81520.0,-0.02600588812561333,5.848455842321796e-16,2.4504062544561596e-16
G1,40,0.6000000000000001,1e-08,1,1,0.21760000000000002,0.165,0.31878787878787884,0.017950000000000004,0.06520000000000001,0,79400.0,81520.0,-0.02600588812561333,5.848455842321796e-16,2.4504062544561596e-16
G1,55,0.09999999999999996,1e-12,1,1,0.2522,0.2008,0.2559760956175299,0.013150000000000021,0.007600000000000022,1,165000.0,184140.0,-0.10394265232974909,0.0,0.0
G1,55,0.09999999999999996,1e-10,1,1,0.2495,0.1996,0.25,0.009549999999999989,0.0069500000000000065,1,165000.0,184140.0,-0.10394265232974909,0.0,0.0
G1,55,0.09999999999999996,1e-08,1,1,0.2544,0.20280000000000004,0.2544378698224852,0.019499999999999986,0.02115,0,165000.0,184140.0,-0.10394265232974909,0.0,0.0
