family,n,delta,tol,method,macrocycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G1,40,0.10000000000000006,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00023150000000000002,3.0149999999999974e-05,0.0002165,79400.0,79763.56,80254.0,82126.8342
G1,40,0.10000000000000006,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00017680000000000001,1.6399999999999992e-05,0.0001622,81520.0,82044.48000000001,82752.0,85453.7936
G1,40,0.10000000000000006,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00021950000000000002,4.684999999999997e-05,0.0002142,79400.0,79763.56,80254.0,82126.8342
G1,40,0.10000000000000006,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00016580000000000002,1.409999999999999e-05,0.0001638,81520.0,82044.48000000001,82752.0,85453.7936
G1,40,0.10000000000000006,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00022190000000000003,3.914999999999995e-05,0.0002142,79400.0,79763.56,80254.0,82126.8342
G1,40,0.10000000000000006,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00016810000000000002,1.4249999999999994e-05,0.00016360000000000002,81520.0,82044.48000000001,82752.0,85453.7936
G1,40,0.29999999999999993,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00021920000000000002,1.6150000000000013e-05,0.0002135,79400.0,79763.56,80254.0,82126.8342
G1,40,0.29999999999999993,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0001674,1.1699999999999959e-05,0.00016030000000000002,81520.0,82044.48000000001,82752.0,85453.7936
G1,40,0.29999999999999993,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002189,1.5750000000000003e-05,0.0002131,79400.0,79763.56,80254.0,82126.8342
G1,40,0.29999999999999993,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0001641,9.050000000000003e-06,0.0001599,81520.0,82044.48000000001,82752.0,85453.7936
