family,n,method,F,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G1,40,hatP2,4,2,1,15,9,0.00024260000000000002,1.4199999999999966e-05,0.0002354,85720.0,86131.24,86686.0,88804.45180000001
G1,40,P2oP2,4,2,2,6,0,0.0001544,4.899999999999984e-06,0.0001497,78240.0,78776.40000000001,79500.0,82263.198
G1,55,hatP2,4,2,1,15,9,0.0002708,1.2299999999999974e-05,0.0002651,176990.0,177678.38,178607.0,182153.1041
G1,55,P2oP2,4,2,2,6,0,0.00018480000000000002,1.2850000000000014e-05,0.00017910000000000002,177980.0,178963.4,180290.0,185355.86299999998
G1,100,hatP2,4,2,1,15,9,0.00038100000000000005,4.2849999999999984e-05,0.00036480000000000003,734300.0,736222.1,738815.0,748716.4595
G1,100,P2oP2,4,2,2,6,0,0.00029800000000000003,4.4550000000000026e-05,0.00028230000000000003,887600.0,890729.0,894950.0,911068.655
G1,200,hatP2,4,2,1,15,9,0.0016999,0.00015250000000000007,0.001518,4268600.0,4275424.2,4284630.0,4319784.018999999
G1,200,P2oP2,4,2,2,6,0,0.0020788,0.00024680000000000014,0.0018784000000000001,6215200.0,6227418.0,6243900.0,6306839.51
G5,40,hatP2,4,2,1,15,9,0.0002642,5.399999999999969e-06,0.0002549,91736.0,92147.24,92702.0,94820.45180000001
G5,40,P2oP2,4,2,2,6,0,0.0001761,6.350000000000019e-06,0.00017120000000000001,84256.0,84792.40000000001,85516.0,88279.198
G5,55,hatP2,4,2,1,15,9,0.0002942,8.900000000000054e-06,0.0002851,185262.0,185950.38,186879.0,190425.1041
G5,55,P2oP2,4,2,2,6,0,0.0002066,9.200000000000007e-06,0.0001988,186252.0,187235.4,188562.0,193627.86299999998
G5,100,hatP2,4,2,1,15,9,0.0003994,1.7099999999999982e-05,0.0003889,749340.0,751262.1,753855.0,763756.4595
G5,100,P2oP2,4,2,2,6,0,0.00031400000000000004,1.2549999999999953e-05,0.00030740000000000005,902640.0,905769.0,909990.0,926108.655
G5,200,hatP2,4,2,1,15,9,0.0016544,0.0001847000000000001,0.0014152000000000001,4298680.0,4305504.2,4314710.0,4349864.018999999
G5,200,P2oP2,4,2,2,6,0,0.0020483000000000003,0.0002920500000000001,0.0017739000000000001,6245280.0,6257498.0,6273980.0,6336919.51
