method,tol,cycles,converged,residual,error_ref,F_total_including_terminal,J,LU,solves,matvecs,matrix_scales,vector_scales,work_kappa1,time_median_s,time_iqr_s,time_min_s,time_max_s
P5,1e-08,2,1,9.396198204375556e-16,0.0,11,2,2,11,0,0,0,2152.0,0.00018030000000000002,8.25000000000001e-06,0.0001754,0.0002055
M6,1e-08,2,1,1.3728152666494016e-15,4.440892098500626e-16,7,4,2,10,4,0,4,2168.0,0.00016920000000000002,8.399999999999987e-06,0.00016600000000000002,0.0002269
P7,1e-08,1,1,1.9389137261985332e-09,4.1487351646270196e-10,8,1,1,7,0,0,0,1392.0,0.0001151,3.299999999999999e-06,0.00011260000000000001,0.0002187
M8,1e-08,2,1,9.396198204375556e-16,0.0,7,4,4,8,0,2,8,2280.0,0.0001672,1.1300000000000004e-05,0.00016230000000000001,0.00020800000000000001
P5,1e-10,2,1,9.396198204375556e-16,0.0,11,2,2,11,0,0,0,2152.0,0.0001795,4.249999999999995e-06,0.00017490000000000002,0.00020620000000000002
M6,1e-10,2,1,1.3728152666494016e-15,4.440892098500626e-16,7,4,2,10,4,0,4,2168.0,0.0001687,2.899999999999989e-06,0.0001642,0.00018610000000000002
P7,1e-10,2,1,9.396198204375556e-16,0.0,15,2,2,15,0,0,0,2760.0,0.00022960000000000002,1.1349999999999978e-05,0.00022390000000000002,0.0003036
M8,1e-10,2,1,9.396198204375556e-16,0.0,7,4,4,8,0,2,8,2280.0,0.00016710000000000002,9.250000000000008e-06,0.00016230000000000001,0.0002544
P5,1e-12,2,1,9.396198204375556e-16,0.0,11,2,2,11,0,0,0,2152.0,0.0001799,4.750000000000007e-06,0.0001744,0.0002009
M6,1e-12,2,1,1.3728152666494016e-15,4.440892098500626e-16,7,4,2,10,4,0,4,2168.0,0.0001697,1.2450000000000004e-05,0.00016450000000000001,0.00024310000000000003
P7,1e-12,2,1,9.396198204375556e-16,0.0,15,2,2,15,0,0,0,2760.0,0.00022850000000000002,8.60000000000002e-06,0.00022400000000000002,0.0005108000000000001
M8,1e-12,2,1,9.396198204375556e-16,0.0,7,4,4,8,0,2,8,2280.0,0.0001664,8.799999999999997e-06,0.000161,0.00023520000000000002
