kappa,system,n,P5_vs_M6_percent,P7_vs_M8_percent
1.0,H1,20,-4.550980578347685,-13.246783656249473
1.0,H2,50,-2.5655424135567984,8.292091071293072
1.0,H3,100,0.11001423046068659,36.030719858716424
1.0,H4,150,1.47229920729397,50.41639747633888
1.0,H5,200,2.407033738554998,60.591550556253495
1.2,H1,20,-4.531204867092642,-13.017693985223067
1.2,H2,50,-2.550760908291605,8.445375562807289
1.2,H3,100,0.12198642581002783,36.122524254774405
1.2,H4,150,1.479180244011724,50.4749320973404
1.2,H5,200,2.411457254258864,60.631814012340726
1.298,H1,20,-4.521588309766877,-12.906197150577247
1.298,H2,50,-2.5435482784290975,8.520208654653993
1.298,H3,100,0.12783555428497184,36.16738881802763
1.298,H4,150,1.4825446011046184,50.503556508269654
1.298,H5,200,2.4136209842718026,60.65151088915422
1.7,H1,20,-4.482638023154884,-12.453961632296796
1.7,H2,50,-2.5141683339689913,8.825291674724255
1.7,H3,100,0.15171102836364359,36.3506071114361
1.7,H4,150,1.4962949961256689,50.62058075445739
1.7,H5,200,2.4224706965549014,60.73208739540361
3.23511,H1,20,-4.340892080724412,-10.799551132992613
3.23511,H2,50,-2.404946565003785,9.96309793317387
3.23511,H3,100,0.24117411497990293,37.03837393434925
3.23511,H4,150,1.5480696308072472,51.061705207146304
3.23511,H5,200,2.455884870508984,61.03655159216188
4.45444,H1,20,-4.235614263677889,-9.561920370549915
4.45444,H2,50,-2.3214052839419352,10.837273754729427
4.45444,H3,100,0.31036145845557694,37.57160735955245
4.45444,H4,150,1.58838394565759,51.40572471656466
4.45444,H5,200,2.4820041364246093,61.27479787092971
