family,kappa,index,n_min
Phat vs P∘P,1.0,2,55
Phat vs P∘P,1.0,3,97
Phat vs P∘P,1.0,4,151
Phat vs P∘P,1.0,5,217
Phat vs P∘P,1.0,6,295
Shat vs S∘S,1.0,2,25
Shat vs S∘S,1.0,3,55
Shat vs S∘S,1.0,4,97
Shat vs S∘S,1.0,5,151
Shat vs S∘S,1.0,6,217
Phat vs P∘P,1.2,2,54
Phat vs P∘P,1.2,3,96
Phat vs P∘P,1.2,4,150
Phat vs P∘P,1.2,5,216
Phat vs P∘P,1.2,6,294
Shat vs S∘S,1.2,2,24
Shat vs S∘S,1.2,3,54
Shat vs S∘S,1.2,4,96
Shat vs S∘S,1.2,5,150
Shat vs S∘S,1.2,6,216
Phat vs P∘P,1.298,2,54
Phat vs P∘P,1.298,3,96
Phat vs P∘P,1.298,4,150
Phat vs P∘P,1.298,5,216
Phat vs P∘P,1.298,6,294
Shat vs S∘S,1.298,2,24
Shat vs S∘S,1.298,3,54
Shat vs S∘S,1.298,4,96
Shat vs S∘S,1.298,5,150
Shat vs S∘S,1.298,6,216
Phat vs P∘P,1.7,2,54
Phat vs P∘P,1.7,3,96
Phat vs P∘P,1.7,4,150
Phat vs P∘P,1.7,5,216
Phat vs P∘P,1.7,6,294
Shat vs S∘S,1.7,2,24
Shat vs S∘S,1.7,3,54
Shat vs S∘S,1.7,4,96
Shat vs S∘S,1.7,5,150
Shat vs S∘S,1.7,6,216
Phat vs P∘P,3.23511,2,52
Phat vs P∘P,3.23511,3,94
Phat vs P∘P,3.23511,4,148
Phat vs P∘P,3.23511,5,214
Phat vs P∘P,3.23511,6,292
Shat vs S∘S,3.23511,2,23
Shat vs S∘S,3.23511,3,52
Shat vs S∘S,3.23511,4,94
Shat vs S∘S,3.23511,5,148
Shat vs S∘S,3.23511,6,214
Phat vs P∘P,4.45444,2,51
Phat vs P∘P,4.45444,3,93
Phat vs P∘P,4.45444,4,147
Phat vs P∘P,4.45444,5,213
Phat vs P∘P,4.45444,6,291
Shat vs S∘S,4.45444,2,22
Shat vs S∘S,4.45444,3,51
Shat vs S∘S,4.45444,4,93
Shat vs S∘S,4.45444,5,147
Shat vs S∘S,4.45444,6,213
