claim,kappa_interval,values,sign_or_selection_invariant
H1: P/S optimum,"[1,4.5]",P=[3]; S=[3],True
H5: P/S optimum,"[1,4.5]",P=[9]; S=[10],True
H1: P5/M6,"[1,4.5]","[-4.550981%, -4.231798%]",True
H1: P7/M8,"[1,4.5]","[-13.246784%, -9.516911%]",True
H2: P5/M6,"[1,4.5]","[-2.565542%, -2.318337%]",True
H2: P7/M8,"[1,4.5]","[8.292091%, 10.869447%]",True
H3: P5/M6,"[1,4.5]","[0.110014%, 0.312915%]",True
H3: P7/M8,"[1,4.5]","[36.030720%, 37.591313%]",True
H4: P5/M6,"[1,4.5]","[1.472299%, 1.589877%]",True
H4: P7/M8,"[1,4.5]","[50.416397%, 51.418472%]",True
H5: P5/M6,"[1,4.5]","[2.407034%, 2.482973%]",True
H5: P7/M8,"[1,4.5]","[60.591551%, 61.283639%]",True
"H1, N=2: q*","[1,4.5]",[2],True
"H1, N=3: q*","[1,4.5]",[2],True
"H1, N=4: q*","[1,4.5]",[2],True
"H1, N=5: q*","[1,4.5]",[2],True
"H1, N=6: q*","[1,4.5]",[2],True
"H2, N=2: q*","[1,4.5]",[2],True
"H2, N=3: q*","[1,4.5]",[2],True
"H2, N=4: q*","[1,4.5]",[2],True
"H2, N=5: q*","[1,4.5]",[2],True
"H2, N=6: q*","[1,4.5]",[2],True
"H3, N=2: q*","[1,4.5]",[3],True
"H3, N=3: q*","[1,4.5]",[3],True
"H3, N=4: q*","[1,4.5]",[2],True
"H3, N=5: q*","[1,4.5]",[2],True
"H3, N=6: q*","[1,4.5]",[2],True
"H4, N=2: q*","[1,4.5]",[3],True
"H4, N=3: q*","[1,4.5]",[3],True
"H4, N=4: q*","[1,4.5]",[3],True
"H4, N=5: q*","[1,4.5]",[2],True
"H4, N=6: q*","[1,4.5]",[2],True
"H5, N=2: q*","[1,4.5]",[3],True
"H5, N=3: q*","[1,4.5]",[4],True
"H5, N=4: q*","[1,4.5]",[3],True
"H5, N=5: q*","[1,4.5]",[3],True
"H5, N=6: q*","[1,4.5]",[2],True
