kappa,system,N_P_star,m_S_star,relative_advantage_P_percent,P_band_0p5pct,S_band_0p5pct
1.0,H1,3,3,4.500057793776335,3,3
1.0,H5,9,10,2.2165948939669944,"8,9,10,11","9,10,11"
1.2,H1,3,3,4.480948852082034,3,3
1.2,H5,9,10,2.2135829420471875,"8,9,10,11","9,10,11"
1.298,H1,3,3,4.471670306084885,3,3
1.298,H5,9,10,2.212109349904945,"8,9,10,11","9,10,11"
1.7,H1,3,3,4.434180944942789,3,3
1.7,H5,9,10,2.206080143045752,"8,9,10,11","9,10,11"
3.23511,H1,3,3,4.298983539115442,3,3
3.23511,H5,9,10,2.1832838699473722,"8,9,10,11","9,10,11,12"
4.45444,H1,3,3,4.199802600526947,3,3
4.45444,H5,9,10,2.165429575798994,"8,9,10,11","9,10,11,12"
