kappa,system,n,N,q_star,rel_eta_qN2_vs_qN1_percent
1.0,H1,20,2,2,-10.269141911753055
1.0,H1,20,3,2,-9.072288943589834
1.0,H1,20,4,2,-8.249733807363723
1.0,H1,20,5,2,-7.577452207822022
1.0,H1,20,6,2,-7.0049339417501795
1.0,H2,50,2,2,-7.422736240249561
1.0,H2,50,3,2,-7.067723164933271
1.0,H2,50,4,2,-6.785329095767478
1.0,H2,50,5,2,-6.470208140280819
1.0,H2,50,6,2,-6.142921779737797
1.0,H3,100,2,3,-5.525341739386469
1.0,H3,100,3,3,-5.756737564499648
1.0,H3,100,4,2,-5.885510591483579
1.0,H3,100,5,2,-5.847734638215085
1.0,H3,100,6,2,-5.707647963202067
1.0,H4,150,2,3,-3.963802860282095
1.0,H4,150,3,3,-4.465784249991733
1.0,H4,150,4,3,-4.854513623996204
1.0,H4,150,5,2,-5.030620886588522
1.0,H4,150,6,2,-5.057852338500124
1.0,H5,200,2,3,-2.926006771694567
1.0,H5,200,3,4,-3.551548872066923
1.0,H5,200,4,3,-4.090314560649022
1.0,H5,200,5,3,-4.405194076798513
1.0,H5,200,6,2,-4.549356151276829
1.2,H1,20,2,2,-10.266588431892709
1.2,H1,20,3,2,-9.07428820802676
1.2,H1,20,4,2,-8.253392702901262
1.2,H1,20,5,2,-7.581600763649887
1.2,H1,20,6,2,-7.009083928709625
1.2,H2,50,2,2,-7.416385723894658
1.2,H2,50,3,2,-7.0645338183837225
1.2,H2,50,4,2,-6.78393626074979
1.2,H2,50,5,2,-6.469826311557747
1.2,H2,50,6,2,-6.143108919790863
1.2,H3,100,2,3,-5.518698402092137
1.2,H3,100,3,3,-5.751889359344919
1.2,H3,100,4,2,-5.88207559688324
1.2,H3,100,5,2,-5.845317565505182
1.2,H3,100,6,2,-5.705946382924387
1.2,H4,150,2,3,-3.9592416674843256
1.2,H4,150,3,3,-4.462055597947923
1.2,H4,150,4,3,-4.8516092860863225
1.2,H4,150,5,2,-5.028400184347115
1.2,H4,150,6,2,-5.056163718763573
1.2,H5,200,2,3,-2.9226576176631047
1.2,H5,200,3,4,-3.548592367999448
1.2,H5,200,4,3,-4.08785783716914
1.2,H5,200,5,3,-4.403208774054679
1.2,H5,200,6,2,-4.547771263274091
1.298,H1,20,2,2,-10.265346839556088
1.298,H1,20,3,2,-9.075260846984602
1.298,H1,20,4,2,-8.255173206269761
1.298,H1,20,5,2,-7.583619800065566
1.298,H1,20,6,2,-7.0111037808985195
1.298,H2,50,2,2,-7.413286080374237
1.298,H2,50,3,2,-7.0629764325111815
1.298,H2,50,4,2,-6.783255951703138
1.298,H2,50,5,2,-6.469639783640179
1.298,H2,50,6,2,-6.143200349127365
1.298,H3,100,2,3,-5.515451864483967
1.298,H3,100,3,3,-5.7495192778720945
1.298,H3,100,4,2,-5.8803959818320095
1.298,H3,100,5,2,-5.844135492651725
1.298,H3,100,6,2,-5.705114125789057
1.298,H4,150,2,3,-3.9570111381356687
1.298,H4,150,3,3,-4.4602317692926
1.298,H4,150,4,3,-4.8501884117093885
1.298,H4,150,5,2,-5.027313619176499
1.298,H4,150,6,2,-5.0553374142988545
1.298,H5,200,2,3,-2.9210191787091166
1.298,H5,200,3,4,-3.5471457654405847
1.298,H5,200,4,3,-4.0866556092151285
1.298,H5,200,5,3,-4.402237136884246
1.298,H5,200,6,2,-4.546995529647468
1.7,H1,20,2,2,-10.260318756559972
1.7,H1,20,3,2,-9.07920327019488
1.7,H1,20,4,2,-8.2623932298588
1.7,H1,20,5,2,-7.591808784300547
1.7,H1,20,6,2,-7.01929687453876
1.7,H2,50,2,2,-7.400653803271351
1.7,H2,50,3,2,-7.056624796912514
1.7,H2,50,4,2,-6.780480188999627
1.7,H2,50,5,2,-6.468878521135091
1.7,H2,50,6,2,-6.143573555315374
