kappa,system,epsilon_percent,N_star,P_near_optimal_band,m_star,S_near_optimal_band
1.0,H1,0.1,3,3,3,3
1.0,H1,0.25,3,3,3,3
1.0,H1,0.5,3,3,3,3
1.0,H1,1.0,3,"2,3",3,3
1.0,H1,2.0,3,"2,3",3,"2,3"
1.0,H1,5.0,3,"2,3,4",3,"2,3,4"
1.0,H5,0.1,9,9,10,10
1.0,H5,0.25,9,"9,10",10,"9,10,11"
1.0,H5,0.5,9,"8,9,10,11",10,"9,10,11"
1.0,H5,1.0,9,"8,9,10,11",10,"8,9,10,11,12"
1.0,H5,2.0,9,"7,8,9,10,11,12,13",10,"8,9,10,11,12,13,14"
1.0,H5,5.0,9,"6,7,8,9,10,11,12,13,14,15,16",10,"6,7,8,9,10,11,12,13,14,15,16,17"
1.2,H1,0.1,3,3,3,3
1.2,H1,0.25,3,3,3,3
1.2,H1,0.5,3,3,3,3
1.2,H1,1.0,3,"2,3",3,3
1.2,H1,2.0,3,"2,3",3,"2,3"
1.2,H1,5.0,3,"2,3,4",3,"2,3,4"
1.2,H5,0.1,9,9,10,10
1.2,H5,0.25,9,"9,10",10,"9,10,11"
1.2,H5,0.5,9,"8,9,10,11",10,"9,10,11"
1.2,H5,1.0,9,"8,9,10,11",10,"8,9,10,11,12"
1.2,H5,2.0,9,"7,8,9,10,11,12,13",10,"8,9,10,11,12,13,14"
1.2,H5,5.0,9,"6,7,8,9,10,11,12,13,14,15,16",10,"6,7,8,9,10,11,12,13,14,15,16,17"
1.298,H1,0.1,3,3,3,3
1.298,H1,0.25,3,3,3,3
1.298,H1,0.5,3,3,3,3
1.298,H1,1.0,3,"2,3",3,3
1.298,H1,2.0,3,"2,3",3,"2,3"
1.298,H1,5.0,3,"2,3,4",3,"2,3,4"
1.298,H5,0.1,9,"9,10",10,10
1.298,H5,0.25,9,"9,10",10,"9,10,11"
1.298,H5,0.5,9,"8,9,10,11",10,"9,10,11"
1.298,H5,1.0,9,"8,9,10,11",10,"8,9,10,11,12"
1.298,H5,2.0,9,"7,8,9,10,11,12,13",10,"8,9,10,11,12,13,14"
1.298,H5,5.0,9,"6,7,8,9,10,11,12,13,14,15,16",10,"6,7,8,9,10,11,12,13,14,15,16,17"
1.7,H1,0.1,3,3,3,3
1.7,H1,0.25,3,3,3,3
1.7,H1,0.5,3,3,3,3
1.7,H1,1.0,3,"2,3",3,3
1.7,H1,2.0,3,"2,3",3,"2,3"
1.7,H1,5.0,3,"2,3,4",3,"2,3,4"
1.7,H5,0.1,9,"9,10",10,10
1.7,H5,0.25,9,"9,10",10,"9,10,11"
1.7,H5,0.5,9,"8,9,10,11",10,"9,10,11"
1.7,H5,1.0,9,"8,9,10,11",10,"8,9,10,11,12"
1.7,H5,2.0,9,"7,8,9,10,11,12,13",10,"8,9,10,11,12,13,14"
1.7,H5,5.0,9,"6,7,8,9,10,11,12,13,14,15,16",10,"6,7,8,9,10,11,12,13,14,15,16,17"
3.23511,H1,0.1,3,3,3,3
3.23511,H1,0.25,3,3,3,3
3.23511,H1,0.5,3,3,3,3
3.23511,H1,1.0,3,3,3,3
3.23511,H1,2.0,3,"2,3",3,3
3.23511,H1,5.0,3,"2,3,4",3,"2,3,4"
3.23511,H5,0.1,9,"9,10",10,10
3.23511,H5,0.25,9,"9,10",10,"9,10,11"
3.23511,H5,0.5,9,"8,9,10,11",10,"9,10,11,12"
3.23511,H5,1.0,9,"8,9,10,11",10,"8,9,10,11,12"
3.23511,H5,2.0,9,"7,8,9,10,11,12,13",10,"8,9,10,11,12,13,14"
3.23511,H5,5.0,9,"6,7,8,9,10,11,12,13,14,15,16",10,"6,7,8,9,10,11,12,13,14,15,16,17"
4.45444,H1,0.1,3,3,3,3
4.45444,H1,0.25,3,3,3,3
4.45444,H1,0.5,3,3,3,3
4.45444,H1,1.0,3,3,3,3
4.45444,H1,2.0,3,"2,3",3,"3,4"
4.45444,H1,5.0,3,"2,3,4",3,"2,3,4"
4.45444,H5,0.1,9,"9,10",10,"10,11"
4.45444,H5,0.25,9,"9,10",10,"10,11"
4.45444,H5,0.5,9,"8,9,10,11",10,"9,10,11,12"
4.45444,H5,1.0,9,"8,9,10,11,12",10,"9,10,11,12,13"
4.45444,H5,2.0,9,"7,8,9,10,11,12,13",10,"8,9,10,11,12,13,14"
4.45444,H5,5.0,9,"6,7,8,9,10,11,12,13,14,15,16",10,"6,7,8,9,10,11,12,13,14,15,16,17"
