system,n,kappa,rho_P5_ref,order_M6,C_P5,C_M6,eta_P5,eta_M6,relative_eta_P5_vs_M6
H1,20,1.0,6.701562118716424,6.0,12080.0,10860.0,0.00015747853073414184,0.00016498705978158884,-0.04550980578347685
H2,50,1.0,6.701562118716424,6.0,108150.0,99250.0,1.7589834963184775e-05,1.805299213328015e-05,-0.025655424135567984
H3,100,1.0,6.701562118716424,6.0,571000.0,538400.0,3.3315948358466433e-06,3.3279336352675613e-06,0.001100142304606866
H4,150,1.0,6.701562118716424,6.0,1667350.0,1593550.0,1.1409366067522916e-06,1.124382334553704e-06,0.0147229920729397
H5,200,1.0,6.701562118716424,6.0,3621200.0,3492800.0,5.253343232266743e-07,5.129865635673543e-07,0.024070337385549978
H1,20,1.298,6.701562118716424,6.0,12172.38,10946.42,0.00015628337689658337,0.0001636845168765729,-0.045215883097668774
H2,50,1.298,6.701562118716424,6.0,108604.45000000001,99689.55,1.7516231160587186e-05,1.7973393091131967e-05,-0.025435482784290975
H3,100,1.298,6.701562118716424,6.0,572683.7,540083.7,3.321799889307891e-06,3.3175588695382865e-06,0.0012783555428497184
H4,150,1.298,6.701562118716424,6.0,1670993.0499999998,1597193.0499999998,1.1384491702514462e-06,1.1218177221770751e-06,0.014825446011046184
H5,200,1.298,6.701562118716424,6.0,3627547.4000000004,3499147.4000000004,5.244151051667673e-07,5.120560137672551e-07,0.024136209842718026
H1,20,1.7,6.701562118716424,6.0,12297.0,11063.0,0.00015469957316975144,0.0001619596374607299,-0.044826380231548835
H2,50,1.7,6.701562118716424,6.0,109217.5,100282.5,1.741791060286523e-05,1.786712007806003e-05,-0.025141683339689913
H3,100,1.7,6.701562118716424,6.0,574955.0,542355.0,3.3086774639205387e-06,3.303665439109172e-06,0.0015171102836364359
H4,150,1.7,6.701562118716424,6.0,1675907.5,1602107.5,1.1351107691017752e-06,1.1183765566468262e-06,0.014962949961256689
H5,200,1.7,6.701562118716424,6.0,3636110.0,3507710.0,5.231801709157405e-07,5.108060441792665e-07,0.024224706965549014
H1,20,3.23511,6.701562118716424,6.0,12772.884100000001,11508.181900000001,0.00014893587355642202,0.00015569439941056674,-0.04340892080724412
H2,50,3.23511,6.701562118716424,6.0,111558.54275,102546.78725,1.705239782068087e-05,1.747260462543701e-05,-0.02404946565003785
H3,100,3.23511,6.701562118716424,6.0,583628.3715,551028.3715,3.2595068097515087e-06,3.251664636342695e-06,0.0024117411497990293
H4,150,3.23511,6.701562118716424,6.0,1694674.2197500002,1620874.2197500002,1.1225406211401909e-06,1.1054278286346066e-06,0.015480696308072472
H5,200,3.23511,6.701562118716424,6.0,3668807.8429999994,3540407.843,5.185173856674057e-07,5.060884363282254e-07,0.024558848705089842
