system,n,delta,tol,method,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvec_entries,vector_scale_entries,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H1,20,0.1,1e-08,P5,1,1,7.40450997286216e-13,1.8246516517995312e-13,6,1,1,5,0,0,0.0001262,6.199999999999988e-06,0.0001229,12920.0,13006.419999999998,13123.0,13568.181900000001
H1,20,0.1,1e-08,M6,1,1,9.557787253587376e-13,2.327685849629159e-13,4,2,1,5,800,40,0.0001249,1.2550000000000009e-05,0.0001199,12100.0,12186.419999999998,12303.0,12748.181900000001
H2,50,0.1000000000000002,1e-08,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0001706,1.2950000000000017e-05,0.0001675,114650.0,115089.55,115682.5,117946.78725
H2,50,0.1000000000000002,1e-08,M6,1,1,3.496750111603816e-15,8.95090418262362e-16,4,2,1,5,5000,100,0.0001729,1.1699999999999986e-05,0.0001681,108250.0,108689.55,109282.5,111546.78725
H3,100,0.1000000000000004,1e-08,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0002355,1.8599999999999964e-05,0.0002305,592500.0,594153.8999999999,596385.0,604904.8605000001
H3,100,0.1000000000000004,1e-08,M6,1,1,3.72014413826016e-15,9.155133597044477e-16,4,2,1,5,20000,200,0.0002471,1.445e-05,0.0002396,569900.0,571583.7,573855.0,582528.3715
H4,150,0.0999999999999998,1e-08,P5,1,1,5.5102214927216124e-17,1.3877787807814457e-17,6,1,1,5,0,0,0.0005397,4.110000000000008e-05,0.000511,1716850.0,1720448.3499999999,1725302.5,1743838.9532500003
H4,150,0.0999999999999998,1e-08,M6,1,1,9.11760061461197e-15,2.2315638142795905e-15,4,2,1,5,45000,300,0.0005633,6.180000000000009e-05,0.0005202,1665550.0,1669193.0499999998,1674107.5,1692874.2197500002
H5,200,0.0999999999999992,1e-08,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0010232,6.765000000000026e-05,0.0009696,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.0999999999999992,1e-08,M6,1,1,1.801529696042477e-15,4.440892098500626e-16,4,2,1,5,80000,400,0.0010579,6.619999999999998e-05,0.0010026,3619000.0,3625347.4000000004,3633910.0,3666607.843
H1,20,0.1,1e-10,P5,1,1,7.40450997286216e-13,1.8246516517995312e-13,6,1,1,5,0,0,0.0001276,1.0649999999999988e-05,0.0001226,12920.0,13006.419999999998,13123.0,13568.181900000001
H1,20,0.1,1e-10,M6,1,1,9.557787253587376e-13,2.327685849629159e-13,4,2,1,5,800,40,0.0001259,1.1300000000000004e-05,0.0001219,12100.0,12186.419999999998,12303.0,12748.181900000001
H2,50,0.1000000000000002,1e-10,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0001734,1.3749999999999982e-05,0.0001695,114650.0,115089.55,115682.5,117946.78725
