system,delta,tol,cycles_P7,cycles_M8,CPU_P7_ms,CPU_M8_ms,CPU_relative_P7_vs_M8,IQR_P7_ms,IQR_M8_ms,CPU_difference_clear_2IQR,work_P7,work_M8,work_relative_P7_vs_M8,residual_P7,residual_M8
H1,0.1,1e-12,1,1,0.1537,0.1202,0.27870216306156403,0.008449999999999989,0.005,1,16200.0,14000.0,0.15714285714285725,0.0,0.0
H1,0.1,1e-10,1,1,0.1531,0.12229999999999999,0.25183973834832396,0.008050000000000005,0.011650000000000025,0,16200.0,14000.0,0.15714285714285725,0.0,0.0
H1,0.1,1e-08,1,1,0.1578,0.12320000000000002,0.2808441558441557,0.010499999999999985,0.010599999999999988,0,16200.0,14000.0,0.15714285714285725,0.0,0.0
H1,0.3,1e-12,1,1,0.1558,0.122,0.27704918032786874,0.010199999999999975,0.010799999999999992,0,16200.0,14000.0,0.15714285714285725,1.82663193756933e-13,2.1721498173697847e-13
H1,0.3,1e-10,1,1,0.1539,0.1205,0.2771784232365144,0.004000000000000016,0.00615,1,16200.0,14000.0,0.15714285714285725,1.82663193756933e-13,2.1721498173697847e-13
H1,0.3,1e-08,1,1,0.1546,0.12439999999999998,0.24276527331189723,0.00710000000000001,0.011400000000000006,0,16200.0,14000.0,0.15714285714285725,1.82663193756933e-13,2.1721498173697847e-13
H1,0.6,1e-12,2,2,0.3057,0.2274,0.3443271767810028,0.010250000000000004,0.008849999999999998,1,31560.0,26760.0,0.17937219730941711,0.0,0.0
H1,0.6,1e-10,1,1,0.1568,0.1219,0.28630024610336346,0.01,0.00514999999999999,1,16200.0,14000.0,0.15714285714285725,4.6838141690168816e-11,5.920046287469293e-11
H1,0.6,1e-08,1,1,0.155,0.12219999999999999,0.2684124386252047,0.007699999999999998,0.012750000000000011,0,16200.0,14000.0,0.15714285714285725,4.6838141690168816e-11,5.920046287469293e-11
H2,0.1000000000000002,1e-12,1,1,0.2047,0.1774,0.15388951521984207,0.00964999999999999,0.015499999999999996,0,137650.0,145000.0,-0.05068965517241375,0.0,0.0
H2,0.1000000000000002,1e-10,1,1,0.2071,0.1775,0.16676056338028156,0.007950000000000004,0.006349999999999992,1,137650.0,145000.0,-0.05068965517241375,0.0,0.0
H2,0.1000000000000002,1e-08,1,1,0.2109,0.1809,0.165837479270315,0.011349999999999978,0.01249999999999998,0,137650.0,145000.0,-0.05068965517241375,0.0,0.0
H2,0.3,1e-12,1,1,0.2128,0.18080000000000002,0.17699115044247793,0.013900000000000013,0.016900000000000005,0,137650.0,145000.0,-0.05068965517241375,0.0,0.0
H2,0.3,1e-10,1,1,0.20670000000000002,0.1777,0.16319639842431055,0.01225,0.004099999999999991,0,137650.0,145000.0,-0.05068965517241375,0.0,0.0
H2,0.3,1e-08,1,1,0.20980000000000001,0.18000000000000002,0.16555555555555546,0.01600000000000001,0.0123,0,137650.0,145000.0,-0.05068965517241375,0.0,0.0
H2,0.6,1e-12,1,1,0.2103,0.18009999999999998,0.16768461965574688,0.011549999999999984,0.010550000000000012,0,137650.0,145000.0,-0.05068965517241375,1.0903857269110551e-16,3.3790715971653474e-14
H2,0.6,1e-10,1,1,0.2068,0.183,0.13005464480874318,0.017599999999999994,0.011400000000000006,0,137650.0,145000.0,-0.05068965517241375,1.0903857269110551e-16,3.3790715971653474e-14
H2,0.6,1e-08,1,1,0.2099,0.1795,0.1693593314763231,0.01155000000000001,0.010350000000000008,0,137650.0,145000.0,-0.05068965517241375,1.0903857269110551e-16,3.3790715971653474e-14
H3,0.1000000000000004,1e-12,1,1,0.285,0.2844,0.0021097046413502962,0.01759999999999994,0.014849999999999954,0,675500.0,883400.0,-0.23534072900158476,0.0,0.0
