system,n,delta,tol,method,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matrix_scale_entries,vector_scale_entries,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H1,20,0.1,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0001578,1.0499999999999984e-05,0.0001528,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.1,1e-08,M8,1,1,0.0,0.0,4,2,2,4,400,80,0.0001232,1.0599999999999988e-05,0.0001178,14000.0,14137.08,14322.0,15028.1506
H2,50,0.1000000000000002,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002109,1.1349999999999978e-05,0.0002059,137650.0,138119.35,138752.5,141170.29825
H2,50,0.1000000000000002,1e-08,M8,1,1,0.0,0.0,4,2,2,4,2500,200,0.0001809,1.249999999999998e-05,0.0001766,145000.0,145789.7,146855.0,150923.0415
H3,100,0.1000000000000004,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002837,7.300000000000015e-06,0.0002785,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.1000000000000004,1e-08,M8,1,1,0.0,0.0,4,2,2,4,10000,400,0.0002857,1.4049999999999987e-05,0.0002792,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.0999999999999998,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.000586,3.784999999999997e-05,0.0005451,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.0999999999999998,1e-08,M8,1,1,0.0,0.0,4,2,2,4,22500,600,0.0007278,6.919999999999995e-05,0.0006782,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.0999999999999992,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0010746,5.005000000000005e-05,0.001019,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.0999999999999992,1e-08,M8,1,1,0.0,0.0,4,2,2,4,40000,800,0.0016324,0.0001133499999999,0.0015691,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.1,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0001531,8.050000000000006e-06,0.0001503,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.1,1e-10,M8,1,1,0.0,0.0,4,2,2,4,400,80,0.0001223,1.1650000000000026e-05,0.0001178,14000.0,14137.08,14322.0,15028.1506
H2,50,0.1000000000000002,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002071,7.950000000000004e-06,0.0002043,137650.0,138119.35,138752.5,141170.29825
H2,50,0.1000000000000002,1e-10,M8,1,1,0.0,0.0,4,2,2,4,2500,200,0.0001775,6.349999999999992e-06,0.0001739,145000.0,145789.7,146855.0,150923.0415
H3,100,0.1000000000000004,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002906,1.5850000000000033e-05,0.0002797,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.1000000000000004,1e-10,M8,1,1,0.0,0.0,4,2,2,4,10000,400,0.0002866,1.1350000000000032e-05,0.0002806,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.0999999999999998,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0005927,5.225e-05,0.0005656,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.0999999999999998,1e-10,M8,1,1,0.0,0.0,4,2,2,4,22500,600,0.0007546,5.969999999999999e-05,0.0007074,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.0999999999999992,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0010619,5.100000000000005e-05,0.0010176,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.0999999999999992,1e-10,M8,1,1,0.0,0.0,4,2,2,4,40000,800,0.0016241,7.375000000000003e-05,0.001564,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.1,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0001537,8.449999999999989e-06,0.00015,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.1,1e-12,M8,1,1,0.0,0.0,4,2,2,4,400,80,0.0001202,5e-06,0.0001172,14000.0,14137.08,14322.0,15028.1506
H2,50,0.1000000000000002,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002047,9.64999999999999e-06,0.0001998,137650.0,138119.35,138752.5,141170.29825
H2,50,0.1000000000000002,1e-12,M8,1,1,0.0,0.0,4,2,2,4,2500,200,0.0001774,1.5499999999999997e-05,0.0001703,145000.0,145789.7,146855.0,150923.0415
H3,100,0.1000000000000004,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.000285,1.759999999999994e-05,0.000274,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.1000000000000004,1e-12,M8,1,1,0.0,0.0,4,2,2,4,10000,400,0.0002844,1.4849999999999954e-05,0.0002754,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.0999999999999998,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0005839,3.915000000000006e-05,0.0005482,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.0999999999999998,1e-12,M8,1,1,0.0,0.0,4,2,2,4,22500,600,0.0007361,4.950000000000007e-05,0.0006934,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.0999999999999992,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0011568,9.835000000000009e-05,0.0010463,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.0999999999999992,1e-12,M8,1,1,0.0,0.0,4,2,2,4,40000,800,0.0017986,0.00019755,0.0015927,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.3,1e-08,P7,1,1,1.82663193756933e-13,4.461681801538621e-14,8,1,1,7,0,0,0.0001546,7.10000000000001e-06,0.0001512,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.3,1e-08,M8,1,1,2.1721498173697847e-13,5.327140288761914e-14,4,2,2,4,400,80,0.0001244,1.1400000000000006e-05,0.000118,14000.0,14137.08,14322.0,15028.1506
H2,50,0.3,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002098,1.600000000000001e-05,0.0002051,137650.0,138119.35,138752.5,141170.29825
H2,50,0.3,1e-08,M8,1,1,0.0,0.0,4,2,2,4,2500,200,0.00018,1.23e-05,0.0001766,145000.0,145789.7,146855.0,150923.0415
H3,100,0.3000000000000004,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002827,1.4750000000000006e-05,0.0002739,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.3000000000000004,1e-08,M8,1,1,0.0,0.0,4,2,2,4,10000,400,0.0002853,1.3099999999999991e-05,0.0002752,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.3000000000000001,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0005757,4.405000000000012e-05,0.0005462,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.3000000000000001,1e-08,M8,1,1,0.0,0.0,4,2,2,4,22500,600,0.0007273,0.00011405,0.0006756,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.3000000000000004,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0010526,6.505000000000009e-05,0.0010013,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.3000000000000004,1e-08,M8,1,1,0.0,0.0,4,2,2,4,40000,800,0.0016069,8.425000000000012e-05,0.0015598,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.3,1e-10,P7,1,1,1.82663193756933e-13,4.461681801538621e-14,8,1,1,7,0,0,0.0001539,4.000000000000016e-06,0.0001508,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.3,1e-10,M8,1,1,2.1721498173697847e-13,5.327140288761914e-14,4,2,2,4,400,80,0.0001205,6.15e-06,0.0001172,14000.0,14137.08,14322.0,15028.1506
H2,50,0.3,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002067,1.225e-05,0.0002044,137650.0,138119.35,138752.5,141170.29825
H2,50,0.3,1e-10,M8,1,1,0.0,0.0,4,2,2,4,2500,200,0.0001777,4.099999999999991e-06,0.0001762,145000.0,145789.7,146855.0,150923.0415
H3,100,0.3000000000000004,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002829,1.5599999999999946e-05,0.0002745,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.3000000000000004,1e-10,M8,1,1,0.0,0.0,4,2,2,4,10000,400,0.000289,1.659999999999997e-05,0.0002729,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.3000000000000001,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0005805,2.1450000000000006e-05,0.0005496,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.3000000000000001,1e-10,M8,1,1,0.0,0.0,4,2,2,4,22500,600,0.0007263,3.749999999999999e-05,0.0006946,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.3000000000000004,1e-10,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0010882,6.975000000000015e-05,0.0010137,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.3000000000000004,1e-10,M8,1,1,0.0,0.0,4,2,2,4,40000,800,0.0016523,0.0001002,0.0015318,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.3,1e-12,P7,1,1,1.82663193756933e-13,4.461681801538621e-14,8,1,1,7,0,0,0.0001558,1.0199999999999975e-05,0.0001515,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.3,1e-12,M8,1,1,2.1721498173697847e-13,5.327140288761914e-14,4,2,2,4,400,80,0.000122,1.0799999999999991e-05,0.0001178,14000.0,14137.08,14322.0,15028.1506
H2,50,0.3,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002128,1.3900000000000013e-05,0.0002064,137650.0,138119.35,138752.5,141170.29825
H2,50,0.3,1e-12,M8,1,1,0.0,0.0,4,2,2,4,2500,200,0.0001808,1.6900000000000004e-05,0.0001756,145000.0,145789.7,146855.0,150923.0415
H3,100,0.3000000000000004,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002873,1.624999999999999e-05,0.0002819,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.3000000000000004,1e-12,M8,1,1,0.0,0.0,4,2,2,4,10000,400,0.0002856,1.1550000000000037e-05,0.0002812,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.3000000000000001,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0006107,7.440000000000007e-05,0.0005633,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.3000000000000001,1e-12,M8,1,1,0.0,0.0,4,2,2,4,22500,600,0.0007729,6.630000000000004e-05,0.0007026,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.3000000000000004,1e-12,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0010842,8.184999999999985e-05,0.00104,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.3000000000000004,1e-12,M8,1,1,0.0,0.0,4,2,2,4,40000,800,0.0016504,0.00011985,0.0015513,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.6,1e-08,P7,1,1,4.6838141690168816e-11,1.143174554661976e-11,8,1,1,7,0,0,0.000155,7.699999999999997e-06,0.0001505,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.6,1e-08,M8,1,1,5.920046287469293e-11,1.4564279834983298e-11,4,2,2,4,400,80,0.0001222,1.2750000000000012e-05,0.0001177,14000.0,14137.08,14322.0,15028.1506
H2,50,0.6,1e-08,P7,1,1,1.0903857269110551e-16,2.775557561562892e-17,8,1,1,7,0,0,0.0002099,1.155000000000001e-05,0.0002061,137650.0,138119.35,138752.5,141170.29825
H2,50,0.6,1e-08,M8,1,1,3.3790715971653474e-14,8.256164117112923e-15,4,2,2,4,2500,200,0.0001795,1.0350000000000008e-05,0.0001758,145000.0,145789.7,146855.0,150923.0415
H3,100,0.5999999999999996,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0002866,1.1549999999999984e-05,0.000282,675500.0,677213.4999999999,679525.0,688351.8825000001
H3,100,0.5999999999999996,1e-08,M8,1,1,1.2985655382169284e-14,3.2016510640615767e-15,4,2,2,4,10000,400,0.000291,1.7050000000000008e-05,0.0002807,883400.0,886528.9999999999,890750.0,906868.655
H4,150,0.6000000000000001,1e-08,P7,1,1,3.176902097406501e-16,7.97218214573518e-17,8,1,1,7,0,0,0.0005929,2.8699999999999996e-05,0.0005608,1905850.0,1909537.7499999998,1914512.5,1933509.4862500003
H4,150,0.6000000000000001,1e-08,M8,1,1,2.475645437043813e-15,6.170545761967548e-16,4,2,2,4,22500,600,0.0007469,0.0001003,0.0007179,2745800.0,2752728.4999999995,2762075.0,2797766.3075
H5,200,0.5999999999999995,1e-08,P7,1,1,0.0,0.0,8,1,1,7,0,0,0.0011023,0.0001229999999999,0.0010327,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.5999999999999995,1e-08,M8,1,1,5.558070087508391e-17,1.3877787807814457e-17,4,2,2,4,40000,800,0.0016776,0.0001465999999999,0.001594,6206000.0,6218218.000000001,6234700.0,6297639.51
H1,20,0.6,1e-10,P7,1,1,4.6838141690168816e-11,1.143174554661976e-11,8,1,1,7,0,0,0.0001568,1e-05,0.0001522,16200.0,16298.339999999998,16431.0,16937.586300000003
