system,n,delta,tol,cycles_Phat2,cycles_P10,cpu_Phat2_ms,cpu_P10_ms,cpu_rel_Phat2_pct,iqr_Phat2_ms,iqr_P10_ms,clear_2iqr,work_Phat2_k1,work_P10_k1,work_rel_Phat2_pct,residual_Phat2,residual_P10,error_Phat2,error_P10
H3,100,0.1,1e-08,1,1,0.364,0.3513,3.615143751779093,0.03424999999999999,0.03474999999999995,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.1,1e-10,1,1,0.35590000000000005,0.3546,0.36661026508744143,0.021100000000000025,0.02089999999999991,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.1,1e-12,1,1,0.3524,0.3461,1.820283155157476,0.02285000000000004,0.019550000000000015,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.3,1e-08,1,1,0.35300000000000004,0.35960000000000003,-1.8353726362625111,0.028750000000000022,0.025799999999999976,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.3,1e-10,1,1,0.3552,0.3458,2.718334297281677,0.02115,0.025750000000000002,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.3,1e-12,1,1,0.36110000000000003,0.3547,1.8043416972089332,0.027349999999999985,0.019300000000000036,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.6,1e-08,1,1,0.3598,0.3595,0.08344923504868262,0.025750000000000002,0.02174999999999996,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.6,1e-10,1,1,0.3462,0.35400000000000004,-2.2033898305084842,0.03299999999999999,0.021200000000000028,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H3,100,0.6,1e-12,1,1,0.355,0.3504,1.3127853881278462,0.02710000000000001,0.018349999999999984,0,701200.0,800000.0,-12.350000000000005,0.0,0.0,0.0,0.0
H5,200,0.1,1e-08,1,1,1.2264000000000002,1.2278,-0.11402508551880963,0.05594999999999992,0.0968500000000001,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.1,1e-10,1,1,1.2273000000000003,1.2367000000000001,-0.7600873291824906,0.12084999999999982,0.10384999999999994,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.1,1e-12,1,1,1.2849000000000002,1.2670000000000001,1.4127861089187066,0.13940000000000002,0.15109999999999993,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.3,1e-08,1,1,1.2259,1.2779,-4.0691759918616395,0.07815000000000014,0.1137,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.3,1e-10,1,1,1.2299000000000002,1.2508000000000001,-1.6709306044131678,0.08634999999999979,0.09900000000000013,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.3,1e-12,1,1,1.2446,1.2347000000000001,0.8018142058799693,0.08814999999999995,0.06104999999999978,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.6,1e-08,1,1,1.2309,1.2422000000000002,-0.9096763806150432,0.11534999999999974,0.10404999999999985,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.6,1e-10,1,1,1.2412,1.2594,-1.4451326028267486,0.08820000000000008,0.10960000000000006,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
H5,200,0.6,1e-12,1,1,1.2554,1.2482000000000002,0.5768306361159992,0.14225000000000002,0.1106499999999999,0,4144800.0,4538400.0,-8.672659968270757,0.0,0.0,0.0,0.0
