system,n,delta,method,tol,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,work_kappa1,time_median_s,time_iqr_s,time_min_s,time_max_s
H3,100,0.1,Phat2,1e-08,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.000364,3.424999999999999e-05,0.00032490000000000004,0.00044800000000000005
H3,100,0.1,P10,1e-08,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.00035130000000000003,3.474999999999995e-05,0.0003277,0.0004179
H3,100,0.1,Phat2,1e-10,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.00035590000000000003,2.1100000000000025e-05,0.00033,0.00042580000000000005
H3,100,0.1,P10,1e-10,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003546,2.0899999999999912e-05,0.0003303,0.00047850000000000003
H3,100,0.1,Phat2,1e-12,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.0003524,2.285000000000004e-05,0.0003258,0.0006349000000000001
H3,100,0.1,P10,1e-12,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003461,1.9550000000000014e-05,0.0003254,0.0003768
H3,100,0.3,Phat2,1e-08,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.000353,2.875000000000002e-05,0.0003276,0.00044290000000000003
H3,100,0.3,P10,1e-08,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003596,2.5799999999999977e-05,0.0003277,0.0004375
H3,100,0.3,Phat2,1e-10,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.0003552,2.115e-05,0.0003282,0.0004972
H3,100,0.3,P10,1e-10,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003458,2.5750000000000002e-05,0.00032960000000000004,0.0004605
H3,100,0.3,Phat2,1e-12,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.00036110000000000005,2.7349999999999987e-05,0.00032290000000000004,0.00046950000000000003
H3,100,0.3,P10,1e-12,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003547,1.9300000000000035e-05,0.0003376,0.00043650000000000004
H3,100,0.6,Phat2,1e-08,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.0003598,2.5750000000000002e-05,0.00032240000000000003,0.00039670000000000005
H3,100,0.6,P10,1e-08,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003595,2.174999999999996e-05,0.0003353,0.0004332
H3,100,0.6,Phat2,1e-10,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.0003462,3.299999999999999e-05,0.0003264,0.00046130000000000005
H3,100,0.6,P10,1e-10,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.00035400000000000004,2.1200000000000027e-05,0.00032700000000000003,0.0004127
H3,100,0.6,Phat2,1e-12,1,1,0.0,0.0,5,2,1,11,6,701200.0,0.000355,2.7100000000000008e-05,0.0003265,0.0004047
H3,100,0.6,P10,1e-12,1,1,0.0,0.0,11,1,1,10,0,800000.0,0.0003504,1.8349999999999985e-05,0.0003325,0.00038320000000000004
H5,200,0.1,Phat2,1e-08,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012264,5.5949999999999923e-05,0.0011389,0.0018180000000000002
H5,200,0.1,P10,1e-08,1,1,0.0,0.0,11,1,1,10,0,4538400.0,0.0012278,9.68500000000001e-05,0.0011690000000000001,0.0014306000000000002
H5,200,0.1,Phat2,1e-10,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012273000000000002,0.00012084999999999982,0.0011355,0.0015569000000000002
H5,200,0.1,P10,1e-10,1,1,0.0,0.0,11,1,1,10,0,4538400.0,0.0012367,0.00010384999999999995,0.0011544,0.0014552
H5,200,0.1,Phat2,1e-12,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012849,0.00013940000000000003,0.0011356,0.0016536
H5,200,0.1,P10,1e-12,1,1,0.0,0.0,11,1,1,10,0,4538400.0,0.0012670000000000001,0.00015109999999999993,0.0011323000000000001,0.0017102
H5,200,0.3,Phat2,1e-08,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012259,7.815000000000014e-05,0.0011358000000000002,0.0015293000000000001
H5,200,0.3,P10,1e-08,1,1,0.0,0.0,11,1,1,10,0,4538400.0,0.0012779,0.0001137,0.0011566,0.0015990000000000002
H5,200,0.3,Phat2,1e-10,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012299000000000001,8.63499999999998e-05,0.0011510000000000001,0.0013896000000000002
H5,200,0.3,P10,1e-10,1,1,0.0,0.0,11,1,1,10,0,4538400.0,0.0012508,9.900000000000013e-05,0.001147,0.0016344
H5,200,0.3,Phat2,1e-12,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012446,8.814999999999995e-05,0.0011447,0.001453
H5,200,0.3,P10,1e-12,1,1,0.0,0.0,11,1,1,10,0,4538400.0,0.0012347,6.104999999999978e-05,0.0011851000000000001,0.0016402
H5,200,0.6,Phat2,1e-08,1,1,0.0,0.0,5,2,1,11,6,4144800.0,0.0012309,0.00011534999999999974,0.0011452,0.0014054
