system,n,kappa,mu0,mu1,p_ref_Phat2,p_ref_P10,cost_Phat2,cost_P10,eta_Phat2,eta_P10,adv_eta_Phat2_pct
H3,100,1.0,315.0,2.02,11.65685424949238,11.8309518948453,739700.0,778500.0,3.3201221503299056e-06,3.1736918936893602e-06,4.6138775138100385
H3,100,1.2,315.0,2.022,11.65685424949238,11.8309518948453,741030.0,779730.0,3.314163197979881e-06,3.168685492718206e-06,4.591105857491673
H3,100,1.298,315.0,2.02298,11.65685424949238,11.8309518948453,741681.7,780332.7,3.3112511129761344e-06,3.166238117712057e-06,4.57997755926407
H3,100,1.7,315.0,2.027,11.65685424949238,11.8309518948453,744355.0,782805.0,3.2993589813987025e-06,3.1562383214685227e-06,4.53453273653901
H3,100,3.23511,315.0,2.0423511,11.65685424949238,11.8309518948453,754563.4815,792245.9265000001,3.254721988025379e-06,3.1186264979011753e-06,4.3639560625742035
H3,100,4.45444,315.0,2.0545444,11.65685424949238,11.8309518948453,762672.0260000001,799744.806,3.2201185711235605e-06,3.0893844145043027e-06,4.231721892732931
H5,200,1.0,631.0,2.09,11.65685424949238,11.8309518948453,4298600.0,4452200.0,5.713242345412533e-07,5.549434300429377e-07,2.9517971763443063
H5,200,1.2,631.0,2.091,11.65685424949238,11.8309518948453,4303260.0,4456660.0,5.70705547561391e-07,5.543880707159997e-07,2.943331162288021
H5,200,1.298,631.0,2.09149,11.65685424949238,11.8309518948453,4305543.4,4458845.4,5.704028798313892e-07,5.541163502186388e-07,2.939189505295081
H5,200,1.7,631.0,2.0935,11.65685424949238,11.8309518948453,4314910.0,4467810.0,5.691646765747215e-07,5.530045232982528e-07,2.922246129215278
H5,200,3.23511,631.0,2.10117555,11.65685424949238,11.8309518948453,4350678.063,4502042.953,5.644854248088343e-07,5.487995483452171e-07,2.858215993601765
H5,200,4.45444,631.0,2.1072722,11.65685424949238,11.8309518948453,4379088.452,4529234.012,5.608231899214972e-07,5.455048541742618e-07,2.8081025549118177
