system,N,eta,eta_over_eta_max,loss_percent
H1,2,0.00017150100241613347,0.9944294135821098,0.5570586417890211
H1,3,0.00017246171530501764,1.0,0.0
H1,4,0.0001657953335188467,0.9613457295471015,3.8654270452898487
H1,5,0.00015747853073414184,0.913121677211801,8.687832278819895
H1,6,0.00014917024761928883,0.8649470252308735,13.505297476912649
H1,7,0.0001413779325544929,0.8197641563778394,18.02358436221606
H1,8,0.0001342327612013835,0.778333678080251,22.166632191974898
H1,9,0.00012773287556915516,0.7406448169858767,25.93551830141233
H1,10,0.000121830332309525,0.706419578942808,29.358042105719196
H1,11,0.00011646438224741836,0.675305716642318,32.4694283357682
H5,4,5.009850309513052e-07,0.9018375602232647,9.816243977673533
H5,5,5.253343232266743e-07,0.9456694214209628,5.433057857903723
H5,6,5.403748738809322e-07,0.9727443491502281,2.7255650849771884
H5,7,5.492627084270059e-07,0.9887435956895488,1.1256404310451162
H5,8,5.538999321383368e-07,0.9970911954373795,0.29088045626205483
H5,9,5.555158190875064e-07,1.0,0.0
H5,10,5.549434300429377e-07,0.9989696260216155,0.10303739783844579
H5,11,5.527670316264096e-07,0.9950518286488909,0.4948171351109143
H5,12,5.494071445281154e-07,0.9890035992684688,1.0996400731531186
H5,13,5.451725774672648e-07,0.9813808333357069,1.8619166664293085
H5,14,5.402937359195917e-07,0.9725982903728672,2.740170962713284
H5,15,5.349447239086811e-07,0.9629693800392302,3.703061996076984
H5,16,5.292584441410756e-07,0.9527333443185089,4.726665568149113
H5,17,5.233371674619754e-07,0.9420742838999837,5.7925716100016285
