kappa,system,N,relative_loss_percent
1.0,H1,2,0.5570586417890211
1.0,H1,3,0.0
1.0,H1,4,3.8654270452898487
1.0,H1,5,8.687832278819895
1.0,H1,6,13.505297476912649
1.0,H1,7,18.02358436221606
1.0,H1,8,22.166632191974898
1.0,H1,9,25.93551830141233
1.0,H1,10,29.358042105719196
1.0,H1,11,32.4694283357682
1.0,H1,12,35.304816167793305
1.0,H1,13,37.89649056287553
1.0,H1,14,40.27307766067467
1.0,H1,15,42.45954737433203
1.0,H1,16,44.47752536525584
1.0,H1,17,46.345697951755064
1.0,H1,18,48.08021775284942
1.0,H1,19,49.69507374191774
1.0,H1,20,51.20241450259131
1.0,H1,21,52.612824457552406
1.0,H1,22,53.93555725812546
1.0,H1,23,55.17873191689464
1.0,H1,24,56.34949731251777
1.0,H1,25,57.45417019145995
1.0,H1,26,58.498351109329704
1.0,H1,27,59.4870220641017
1.0,H1,28,60.42462894498822
1.0,H1,29,61.31515137711674
1.0,H1,30,62.16216208487311
1.0,H5,2,29.210817141897405
1.0,H5,3,16.930522448966766
1.0,H5,4,9.816243977673533
1.0,H5,5,5.433057857903723
1.0,H5,6,2.7255650849771884
1.0,H5,7,1.1256404310451162
1.0,H5,8,0.29088045626205483
1.0,H5,9,0.0
1.0,H5,10,0.10303739783844579
1.0,H5,11,0.4948171351109143
1.0,H5,12,1.0996400731531186
1.0,H5,13,1.8619166664293085
1.0,H5,14,2.740170962713284
1.0,H5,15,3.703061996076984
1.0,H5,16,4.726665568149113
1.0,H5,17,5.7925716100016285
1.0,H5,18,6.886524951491657
1.0,H5,19,7.997437215377767
1.0,H5,20,9.116657599830125
1.0,H5,21,10.237427600845006
1.0,H5,22,11.354468539593254
1.0,H5,23,12.463666343861735
1.0,H5,24,13.561828452531334
1.0,H5,25,14.646494812502242
1.0,H5,26,15.715789858731654
1.0,H5,27,16.76830583119766
1.0,H5,28,17.8030102533673
1.0,H5,29,18.81917218160396
1.0,H5,30,19.816303139045665
1.2,H1,2,0.6406905190881163
1.2,H1,3,0.0
1.2,H1,4,3.809899793206517
1.2,H1,5,8.596630865438804
1.2,H1,6,13.391165947067673
1.2,H1,7,17.894724952022468
1.2,H1,8,22.028424027706105
1.2,H1,9,25.791560586544893
1.2,H1,10,29.210785941648687
1.2,H1,11,32.3205668143648
1.2,H1,12,35.15553106744939
1.2,H1,13,37.747612133946774
1.2,H1,14,40.12519044855674
1.2,H1,15,42.313061734032075
1.2,H1,16,44.33272667371458
1.2,H1,17,46.20278102431502
1.2,H1,18,47.93931126020789
1.2,H1,19,49.55625775460172
1.2,H1,20,51.06573323972635
1.2,H1,21,52.47829564274188
1.2,H1,22,53.80317904481727
1.2,H1,23,55.04848805289262
1.2,H1,24,56.221361015705476
1.2,H1,25,57.32810707350742
1.2,H1,26,58.37432139027558
1.2,H1,27,59.364982254764676
1.2,H1,28,60.30453312731918
1.2,H1,29,61.196952178976915
1.2,H1,30,62.04581142134815
1.2,H5,2,29.231640745495092
1.2,H5,3,16.950410231143753
1.2,H5,4,9.83337182797095
1.2,H5,5,5.446767273365949
1.2,H5,6,2.735677822168281
1.2,H5,7,1.1322053170784385
1.2,H5,8,0.2940571839460726
1.2,H5,9,0.0
1.2,H5,10,0.1000921252264364
1.2,H5,11,0.4891606855746189
1.2,H5,12,1.091499700020837
1.2,H5,13,1.8515078028238152
1.2,H5,14,2.7276948620074792
1.2,H5,15,3.688704903587381
1.2,H5,16,4.71059878148854
1.2,H5,17,5.774952041628123
1.2,H5,18,6.867495958722514
1.2,H5,19,7.977129554957618
1.2,H5,20,9.095190420593868
1.2,H5,21,10.214909423107043
1.2,H5,22,11.330998191844522
1.2,H5,23,12.439333841105038
1.2,H5,24,13.536715809157673
1.2,H5,25,14.620676787889641
1.2,H5,26,15.689334636921737
1.2,H5,27,16.74127563783211
1.2,H5,28,17.775461914033496
1.2,H5,29,18.791157626163457
1.2,H5,30,19.787869856604356
1.298,H1,2,0.6812481358296041
1.298,H1,3,0.0
1.298,H1,4,3.782914815335814
1.298,H1,5,8.55228132935093
1.298,H1,6,13.33563949100698
1.298,H1,7,17.83200970045069
1.298,H1,8,21.96113843366142
1.298,H1,9,25.721458391938878
1.298,H1,10,29.139062530052406
1.298,H1,11,32.248048596089276
1.298,H1,12,35.08279536900923
1.298,H1,13,37.675064916599524
1.298,H1,14,40.05311781765782
1.298,H1,15,42.24166477135209
1.298,H1,16,44.2621454212014
1.298,H1,17,46.13311126618419
1.298,H1,18,47.87061643519011
1.298,H1,19,49.48857751953063
1.298,H1,20,50.99908969528211
1.298,H1,21,52.4126979044707
1.298,H1,22,53.738626628281324
1.298,H1,23,54.984973399332816
1.298,H1,24,56.158871388388846
1.298,H1,25,57.26662598902295
1.298,H1,26,58.313829703295596
1.298,H1,27,59.305458982643835
1.298,H1,28,60.245956078061404
1.298,H1,29,61.13929842969663
1.298,H1,30,61.98905768245855
1.298,H5,2,29.24182419416915
1.298,H5,3,16.96013682457066
1.298,H5,4,9.841749228475171
1.298,H5,5,5.453473132614873
1.298,H5,6,2.740624694956062
1.298,H5,7,1.1354168583632251
1.298,H5,8,0.2956113185971887
1.298,H5,9,0.0
1.298,H5,10,0.09865109254690863
1.298,H5,11,0.48639304336890454
1.298,H5,12,1.0875165486757044
1.298,H5,13,1.8464144803106763
1.298,H5,14,2.7215897857013727
1.298,H5,15,3.6816791617879985
1.298,H5,16,4.70273616024487
1.298,H5,17,5.76632929773494
1.298,H5,18,6.85818322398023
1.298,H5,19,7.967190801711199
1.298,H5,20,9.084683946192218
1.298,H5,21,10.203888328099818
1.298,H5,22,11.319510837480962
1.298,H5,23,12.42742427843332
1.298,H5,24,13.524424176222915
1.298,H5,25,14.608039674117713
1.298,H5,26,15.676385415332339
1.298,H5,27,16.728044766622354
