system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H1,20,0.1,P,2,2,1,0.0,0.0,5,2,2,5,0.0001364,4.600000000000003e-06,0.0001312,15160.0,15303.039999999999,15496.0,16232.8528
H1,20,0.1,P,3,2,1,0.0,0.0,7,2,2,7,0.0001682,4.899999999999984e-06,0.0001637,18440.0,18594.96,18804.0,19602.2572
H1,20,0.1,P,4,2,1,0.0,0.0,9,2,2,9,0.0002011,1.080000000000002e-05,0.0001945,21720.0,21886.879999999997,22112.0,22971.661600000003
H1,20,0.1,P,5,1,1,7.40450997286216e-13,1.8246516517995312e-13,6,1,1,5,0.0001188,4.700000000000006e-06,0.0001144,12920.0,13006.419999999998,13123.0,13568.181900000001
H1,20,0.1,P,6,1,1,5.082780670206328e-15,1.2758510841771824e-15,7,1,1,6,0.0001348,3.1499999999999957e-06,0.0001313,14560.0,14652.38,14777.0,15252.884100000001
H1,20,0.1,P,7,1,1,0.0,0.0,8,1,1,7,0.0001511,2.000000000000021e-06,0.0001479,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.1,P,8,1,1,0.0,0.0,9,1,1,8,0.0001668,3.949999999999988e-06,0.0001632,17840.0,17944.3,18085.0,18622.288500000002
H1,20,0.1,P,9,1,1,0.0,0.0,10,1,1,9,0.0001831,5.700000000000003e-06,0.0001768,19480.0,19590.26,19739.0,20306.990700000002
H1,20,0.1,P,10,1,1,0.0,0.0,11,1,1,10,0.0002,4.650000000000005e-06,0.0001928,21120.0,21236.219999999998,21393.0,21991.692900000002
H1,20,0.1,P,11,1,1,0.0,0.0,12,1,1,11,0.0002156,7.249999999999986e-06,0.000209,22760.0,22882.18,23047.0,23676.3951
H1,20,0.1,P,12,1,1,0.0,0.0,13,1,1,12,0.0002325,9.000000000000002e-06,0.0002235,24400.0,24528.14,24701.0,25361.0973
H1,20,0.1,P,13,1,1,0.0,0.0,14,1,1,13,0.0002472,4.000000000000043e-06,0.0002396,26040.0,26174.1,26355.0,27045.7995
H1,20,0.1,P,14,1,1,0.0,0.0,15,1,1,14,0.0002628,5.549999999999945e-06,0.0002559,27680.0,27820.059999999998,28009.0,28730.5017
