kappa,system,n,N,q_star,p_at_q_star,cost_at_q_star,eta_star,eta_q_Nplus1,eta_q_Nplus2,rel_eta_qN2_vs_qN1
1.0,H1,20,2,2,8.531128874149275,14060.0,0.00015246953729605443,0.00014511963303004793,0.00013021709197237705,-0.10269141911753055
1.0,H1,20,3,2,11.65685424949238,18140.0,0.00013538557632850228,0.00012033796243244912,0.00010942055477174876,-0.09072288943589835
1.0,H1,20,4,2,14.72841614740048,22220.0,0.00012105214667230049,9.871991696502838e-05,9.057578660056304e-05,-0.08249733807363724
1.0,H1,20,5,2,17.774964387392124,26300.0,0.00010942170996825302,8.184127048397417e-05,7.563978732677668e-05,-0.07577452207822022
1.0,H1,20,6,2,20.80776406404415,30380.0,9.991198780014187e-05,6.879583950918497e-05,6.397673639689409e-05,-0.0700493394175018
1.0,H2,50,2,2,8.531128874149275,120650.0,1.776810355891028e-05,1.760906125819822e-05,1.6301987086618198e-05,-0.07422736240249561
1.0,H2,50,3,2,11.65685424949238,148650.0,1.6521320918930583e-05,1.5653822412363112e-05,1.4547453579527009e-05,-0.0706772316493327
1.0,H2,50,4,2,14.72841614740048,176650.0,1.522659891909718e-05,1.3424182628822854e-05,1.2513307659040373e-05,-0.06785329095767478
1.0,H2,50,5,2,17.774964387392124,204650.0,1.406201305724434e-05,1.1470130315788773e-05,1.0727989010395789e-05,-0.0647020814028082
1.0,H2,50,6,2,20.80776406404415,232650.0,1.3046749148370127e-05,9.852327022068487e-06,9.24710627961885e-06,-0.06142921779737798
1.0,H3,100,2,3,10.898979485566356,679700.0,3.514299190340722e-06,3.514299190340722e-06,3.3201221503299056e-06,-0.05525341739386469
1.0,H3,100,3,3,15.615773105863909,802700.0,3.423796561568986e-06,3.3455235052592065e-06,3.1529304969027842e-06,-0.05756737564499648
1.0,H3,100,4,2,14.72841614740048,825700.0,3.2575738150157645e-06,3.0009732242544826e-06,2.824350627293399e-06,-0.05885510591483578
1.0,H3,100,5,2,17.774964387392124,928700.0,3.098730453499574e-06,2.643414358643306e-06,2.48883450156137e-06,-0.05847734638215085
1.0,H3,100,6,2,20.80776406404415,1031700.0,2.942062798651071e-06,2.3192822720715015e-06,2.1869058047087058e-06,-0.05707647963202067
1.0,H4,150,2,3,10.898979485566356,1912750.0,1.2488140947194294e-06,1.2488140947194294e-06,1.1993135659133347e-06,-0.03963802860282095
1.0,H4,150,3,3,15.615773105863909,2191750.0,1.2539210676269762e-06,1.2451116677947935e-06,1.1895076670396043e-06,-0.04465784249991733
1.0,H4,150,4,3,19.69535971483266,2470750.0,1.2062665427614519e-06,1.1566192103203873e-06,1.1004709731776268e-06,-0.04854513623996204
1.0,H4,150,5,2,17.774964387392124,2479750.0,1.1605165731081981e-06,1.0460784625383314e-06,9.93454220911774e-07,-0.050306208865885216
