kappa,system,n,N,q,p_reference,cost,eta
1.0,H1,20,2,2,8.531128874149275,14060.0,0.00015246953729605443
1.0,H1,20,2,3,10.898979485566356,16460.0,0.00014511963303004793
1.0,H1,20,2,4,11.65685424949238,18860.0,0.00013021709197237705
1.0,H1,20,3,2,11.65685424949238,18140.0,0.00013538557632850228
1.0,H1,20,3,3,15.615773105863909,21340.0,0.0001287854498580799
1.0,H1,20,3,4,19.165151389911678,24540.0,0.00012033796243244912
1.0,H1,20,3,5,20.807764064044157,27740.0,0.00010942055477174876
1.0,H1,20,4,2,14.72841614740048,22220.0,0.00012105214667230049
1.0,H1,20,4,3,19.69535971483266,26220.0,0.00011366830894461698
1.0,H1,20,4,4,24.67579566188592,30220.0,0.00010608282033318333
1.0,H1,20,4,5,29.317821063276355,34220.0,9.871991696502838e-05
1.0,H1,20,4,6,31.874507866387546,38220.0,9.057578660056304e-05
1.0,H1,20,5,2,17.774964387392124,26300.0,0.00010942170996825302
1.0,H1,20,5,3,23.747340124470732,31100.0,0.00010184792699194989
1.0,H1,20,5,4,29.730919862656236,35900.0,9.448990465417493e-05
1.0,H1,20,5,5,35.72004514666935,40700.0,8.785533218457044e-05
1.0,H1,20,5,6,41.420577856662135,45500.0,8.184127048397417e-05
1.0,H1,20,5,7,44.91093483101497,50300.0,7.563978732677668e-05
1.0,H1,20,6,2,20.80776406404415,30380.0,9.991198780014187e-05
1.0,H1,20,6,3,27.78404875209022,35980.0,9.239750055926718e-05
1.0,H1,20,6,4,34.76991603917054,41580.0,8.534758372457097e-05
1.0,H1,20,6,5,41.760539492026695,47180.0,7.910029381859487e-05
1.0,H1,20,6,6,48.75386567126981,52780.0,7.364123702389215e-05
1.0,H1,20,6,7,55.49545416973504,58380.0,6.879583950918497e-05
1.0,H1,20,6,8,59.93325909419152,63980.0,6.397673639689409e-05
1.0,H2,50,2,2,8.531128874149275,120650.0,1.776810355891028e-05
1.0,H2,50,2,3,10.898979485566356,135650.0,1.760906125819822e-05
1.0,H2,50,2,4,11.65685424949238,150650.0,1.6301987086618198e-05
1.0,H2,50,3,2,11.65685424949238,148650.0,1.6521320918930583e-05
1.0,H2,50,3,3,15.615773105863909,168650.0,1.6295769344627483e-05
1.0,H2,50,3,4,19.165151389911678,188650.0,1.5653822412363112e-05
1.0,H2,50,3,5,20.807764064044157,208650.0,1.4547453579527009e-05
1.0,H2,50,4,2,14.72841614740048,176650.0,1.522659891909718e-05
1.0,H2,50,4,3,19.69535971483266,201650.0,1.477998046381283e-05
1.0,H2,50,4,4,24.67579566188592,226650.0,1.4144376044424444e-05
1.0,H2,50,4,5,29.317821063276355,251650.0,1.3424182628822854e-05
1.0,H2,50,4,6,31.874507866387546,276650.0,1.2513307659040373e-05
1.0,H2,50,5,2,17.774964387392124,204650.0,1.406201305724434e-05
1.0,H2,50,5,3,23.747340124470732,234650.0,1.3498702448112686e-05
1.0,H2,50,5,4,29.730919862656236,264650.0,1.2817636792310146e-05
1.0,H2,50,5,5,35.72004514666935,294650.0,1.2135455692896713e-05
1.0,H2,50,5,6,41.420577856662135,324650.0,1.1470130315788773e-05
1.0,H2,50,5,7,44.91093483101497,354650.0,1.0727989010395789e-05
1.0,H2,50,6,2,20.80776406404415,232650.0,1.3046749148370127e-05
1.0,H2,50,6,3,27.78404875209022,267650.0,1.2420930581440063e-05
1.0,H2,50,6,4,34.76991603917054,302650.0,1.172559897990306e-05
1.0,H2,50,6,5,41.760539492026695,337650.0,1.105272282648099e-05
