system,n,delta,rank_J,rank_J_minus_diagJ,rank_J_minus_A,density_J,cond2_J,offdiag_rank3_residual,offdiag_sigma4_over_sigma1,JminusA_rank3_residual,jacobian_complex_step_relF,jacobian_complex_step_maxabs
H1,20,0.1,20,20,20,1.0,1.4057185329044928,0.7543409842248874,0.8321781523740689,0.7097105119768468,1.2597909506451134e-16,8.881784197001252e-16
H1,20,0.3,20,20,20,1.0,1.4041073549971488,0.7539832741217499,0.8337862485263535,0.7112735359975874,1.672532819684821e-16,8.881784197001252e-16
H1,20,0.6,20,20,20,1.0,1.4109547209309528,0.7530820766168813,0.8281922230214908,0.713682190481623,1.238024759138612e-16,8.881784197001252e-16
H2,50,0.1,50,50,50,1.0,1.482641710921647,0.8925428801169253,0.8861168106211328,0.8579961758533695,1.3969558053866478e-16,1.3322676295501878e-15
H2,50,0.3,50,50,50,1.0,1.48307647003826,0.8925069041572986,0.8861774220364006,0.8585448189086896,1.2040076978075354e-16,8.881784197001252e-16
H2,50,0.6,50,50,50,1.0,1.4837740618843176,0.8924515552518111,0.8859855428238551,0.8579912868710904,1.0547551077986652e-16,8.881784197001252e-16
H3,100,0.1,100,100,100,1.0,1.4884585339291383,0.9442891976703431,0.9286058050423917,0.9295100849351607,1.2007791476532813e-16,8.881784197001252e-16
H3,100,0.3,100,100,100,1.0,1.4881901496449743,0.9442934286786225,0.9287615917774813,0.9293127258600729,1.2206878752849955e-16,1.7763568394002505e-15
H3,100,0.6,100,100,100,1.0,1.4879550965578845,0.9442972671553874,0.9290380391519578,0.9289534976467858,1.369853674282313e-16,8.881784197001252e-16
H4,150,0.1,150,150,150,1.0,1.4949768135455577,0.9634210913065955,0.946172669254274,0.9467910764575476,1.3087953406317655e-16,1.7763568394002505e-15
H4,150,0.3,150,150,150,1.0,1.4954795583901819,0.9634242320140789,0.9451483512550425,0.9468225720106654,1.1551161252651227e-16,8.881784197001252e-16
H4,150,0.6,150,150,150,1.0,1.496579306528066,0.9634291914656025,0.9435822641884803,0.9469281022465091,1.4067089325939558e-16,1.7763568394002505e-15
H5,200,0.1,200,200,200,1.0,1.4931128562604916,0.971429362136975,0.9626427257797715,0.9571574124779898,1.309547212913717e-16,8.881784197001252e-16
H5,200,0.3,200,200,200,1.0,1.4932858424483335,0.9714357714718238,0.9634915287413022,0.9571529697099876,1.2163964640799775e-16,1.3322676295501878e-15
H5,200,0.6,200,200,200,1.0,1.493645763673926,0.971445514985144,0.9648275426725138,0.9571661282467004,1.2166974663431872e-16,1.7763568394002505e-15
