system,n,delta,family,index,cycles,time_median_s,time_iqr_s
H1,20,0.1,P,3,2,0.0001682,4.899999999999984e-06
H1,20,0.1,S,3,2,0.0001619,3.1999999999999965e-06
H1,20,0.3,P,3,2,0.0001769,1.1450000000000007e-05
H1,20,0.3,S,3,2,0.0001689,3.850000000000012e-06
H1,20,0.6,P,3,2,0.0001686,6.449999999999994e-06
H1,20,0.6,S,3,2,0.0001629,4.999999999999986e-06
H5,200,0.0999999999999992,P,9,1,0.0012904,0.00017055
H5,200,0.0999999999999992,S,10,1,0.0013428,0.0001690999999999
H5,200,0.3000000000000004,P,9,1,0.0011608,8.805000000000011e-05
H5,200,0.3000000000000004,S,10,1,0.0012268,8.720000000000017e-05
H5,200,0.5999999999999995,P,9,1,0.0012037,0.0001275499999999
H5,200,0.5999999999999995,S,10,1,0.0012533,0.0001116999999999
