system,delta,family,best_by_time,time_s,iqr_s,best_by_work,work,first_single_cycle
H1,0.1,P,5,0.0001188,4.700000000000006e-06,5,12920.0,5
H1,0.1,S,5,0.0001201,4.1499999999999925e-06,5,12920.0,5
H1,0.3,P,2,0.0001429,4.04999999999999e-06,2,15160.0,7
H1,0.3,S,2,0.000136,8.449999999999989e-06,2,14760.0,7
H1,0.6,P,2,0.0001381,1.1949999999999992e-05,2,15160.0,9
H1,0.6,S,2,0.0001293,3.950000000000015e-06,2,14760.0,9
H5,0.1,P,4,0.0010738,0.0001373,4,3541200.0,4
H5,0.1,S,4,0.0010549,0.0001281499999999,4,3541200.0,4
H5,0.3,P,5,0.0009886,4.104999999999994e-05,5,3707400.0,5
H5,0.3,S,5,0.0009992,6.77500000000001e-05,5,3707400.0,5
H5,0.6,P,6,0.0010562,0.0001191,6,3873600.0,6
H5,0.6,S,6,0.0010743,0.0001334999999999,6,3873600.0,6
