pair,system,n,eta_A,eta_B,advantage_A_pct
P5/M6,H1,20,0.00015747853073414184,0.00016498705978158884,-4.550980578347685
P5/M6,H2,50,1.7589834963184775e-05,1.805299213328015e-05,-2.5655424135567984
P5/M6,H3,100,3.3315948358466433e-06,3.3279336352675613e-06,0.11001423046068659
P5/M6,H4,150,1.1409366067522916e-06,1.124382334553704e-06,1.47229920729397
P5/M6,H5,200,5.253343232266743e-07,5.129865635673543e-07,2.407033738554998
P7/M8,H1,20,0.0001413779325544929,0.00016296563806268306,-13.246783656249473
P7/M8,H2,50,1.6557873000663443e-05,1.5290011335881145e-05,8.292091071293072
P7/M8,H3,100,3.3204358471513924e-06,2.4409455824390606e-06,36.030719858716424
P7/M8,H4,150,1.169803670663943e-06,7.777102033360145e-07,50.41639747633888
P7/M8,H5,200,5.492627084270059e-07,3.4202466227175825e-07,60.591550556253495
