method,N,reference_order,final_COC,abs_COC_minus_ref,cycles_or_macrocycles,minus_log10_error_final,minus_log10_residual_final
P_N,2,3.4142135623730950488,3.4146906853847033223,0.00047712301,5,419.306169016,419.306169016
P_N,3,4.5615528128088302749,4.5617568367117064813,0.0002040239,5,1734.83427722,1734.83427722
P_N,4,5.6457513110645905905,5.6458478490411709763,9.6537977e-5,5,5020.03655565,5020.03655565
P_N,5,6.7015621187164243432,6.701614666020863688,5.2547304e-5,5,11853.9038305,11853.9038305
P_N,6,7.7416573867739413856,7.7416891153017605254,3.1728528e-5,5,24472.7735417,24472.7735417
P_N,7,8.7720018726587655839,8.7723452957821578478,0.00034342312,4,5230.93231212,5230.93231212
P_N,8,9.7958315233127195416,9.796094509735369801,0.00026298642,4,8164.16719869,8164.16719869
Phat_N,2,11.656854249492380195,11.657324214938812961,0.00046996545,4,16279.2204563,16279.2204563
Phat_N,3,20.807764064044151375,20.817285261255498451,0.0095211972,3,7610.78233432,7610.78233432
Phat_N,4,31.874507866387543543,31.880676042167217797,0.0061681758,3,27185.7134381,27185.7134381
